Jahr,Kanton,Total,1,2,3,4,5,6+
2015,Uri,13.1,14.3,15.7,12.7,12.8,12.9,11.6
2015,Schwyz,16.5,14.3,16.8,16.6,16.5,16.3,16.3
2015,Obwalden,13.2,7.1,15.0,13.0,13.4,12.4,13.0
2015,Nidwalden,15.3,12.8,17.9,15.3,14.8,15.4,14.5
2015,Glarus,11.6,,11.8,11.8,11.8,10.7,9.5
2015,Zug,19.3,22.6,21.1,19.5,18.6,18.9,19.4
2015,Freiburg,14.1,16.1,15.2,14.2,13.5,13.4,13.6
2015,Solothurn,13.2,14.6,14.3,13.4,12.8,12.4,12.8
2015,Basel-Stadt,16.9,18.4,17.8,16.4,16.5,17.1,19.8
2015,Basel-Landschaft,16.0,14.8,16.9,16.3,15.7,14.9,19.5
2015,Schaffhausen,13.1,12.1,15.4,13.1,12.3,13.1,14.1
2015,Appenzell A.Rh.,12.6,11.6,13.4,13.0,13.1,11.1,10.7
2015,Appenzell I.Rh.,13.3,,15.5,12.9,13.7,12.9,11.9
2015,St.Gallen,13.6,14.1,14.7,14.0,13.4,12.6,13.2
2015,Graubünden,14.9,19.3,16.5,15.2,14.3,13.2,13.1
2015,Aargau,14.7,15.7,16.7,15.0,14.3,13.9,13.4
2015,Thurgau,12.9,14.0,13.9,13.3,12.6,12.0,12.0
2015,Tessin,13.3,11.1,12.9,13.3,13.6,13.9,17.3
2015,Waadt,16.7,20.2,17.7,16.3,16.0,15.9,17.5
2015,Wallis,13.1,14.1,14.2,13.3,12.5,12.4,12.5
2015,Neuenburg,11.8,13.1,12.1,11.5,11.7,12.4,12.7
2015,Genf,18.5,19.5,17.9,18.1,18.3,18.4,22.1
2015,Jura,10.7,7.9,11.0,10.6,11.0,11.0,9.4
2016,Schweiz,15.8,18.1,17.2,15.9,15.1,15.1,16.1
2016,Zürich,18.6,22.6,20.6,18.6,17.6,17.5,19.0
2016,Bern,14.3,16.2,15.5,14.5,13.9,13.4,13.3
2016,Luzern,15.0,18.1,16.9,15.4,14.2,14.3,14.2
